iso3,year,pop,pop_15_64_pct,pop_65_plus_pct,IMR,urban,LA,PSR
BTN,2010,701632.0,65.4633768129162,5.11486078172033,31.4,34.793,38117.0,12.798662486938357
BWA,1990,1305696.0,51.6339561429307,3.22678479523564,38.9,41.933,566730.0,16.00167331244663
BWA,1995,1498836.0,54.544960222466,3.22717095132489,41.3,48.981,566730.0,16.901788298532185
BWA,2000,1677382.0,58.2747524789367,3.34229074167639,42.5,53.219,566730.0,17.435572480958935
BWA,2005,1839877.0,61.1046281898192,3.41925030858041,43.0,55.944,566730.0,17.870767763471626
BWA,2010,2033111.0,62.526188320802,3.39858556630345,50.5,62.412,566730.0,18.39770901775766
CAF,1990,2871910.0,52.495839440623,2.97007966302559,109.0,36.825,622980.0,17.674892729020616
CAF,1995,3348052.0,51.8415113984955,2.56069836440688,105.6,37.231,622980.0,20.245067564021056
CAF,2000,3833416.0,52.2298711867077,2.31739754863579,99.8,37.639,622980.0,22.538157605912065
CAF,2005,4288810.0,52.7749244225176,2.17168606540205,90.5,38.069,622980.0,24.30135978827457
CAF,2010,4492995.0,52.1944991932442,1.85814786593933,88.1,38.904,622980.0,28.089529444880245
CAN,1990,27691138.0,68.0455122480417,11.2396227452206,6.8,76.582,8965590.0,6.054074392930718
CAN,1995,29302311.0,67.6288199467116,11.9590423091733,5.8,77.675,8965590.0,5.655036431707935
CAN,2000,30685730.0,68.2568366113173,12.5363093892577,5.3,79.478,8965590.0,5.444731339337096
CAN,2005,32242732.0,69.2461072880222,13.0466474392723,5.2,80.122,8965590.0,5.307578641205661
CAN,2010,34005902.0,69.3276453126297,14.1094023482861,5.0,80.937,8965590.0,4.913577740665329
CHE,1990,6715519.0,68.3265126639817,14.5804971806923,6.6,73.926,39529.27,4.686157942162675
CHE,1995,7040687.0,67.6152292227338,14.7405129836719,5.2,73.654,39529.67,4.587033660065382
CHE,2000,7184250.0,67.2933202385048,15.3331918616722,4.7,73.383,39523.581,4.388735290446301
CHE,2005,7437115.0,68.0075198238709,15.8531022603741,4.3,73.478,39517.47,4.289855619859356
CHE,2010,7824909.0,68.0152780176375,16.8296381939452,3.9,73.607,39513.225,4.041398705891809
CHL,1990,13437176.0,64.2017749860536,6.03834466408716,16.0,83.271,743532.0,10.632346869480864
CHL,1995,14527381.0,64.1746793804513,7.23004692896652,11.0,84.545,743532.0,8.876108275776375
CHL,2000,15503635.0,65.0094026336404,8.17687271404416,9.2,86.073,743532.0,7.950399242730503
CHL,2005,16348778.0,66.8165157914712,9.08977750782895,7.7,86.783,743532.0,7.35073171306148
CHL,2010,17181464.0,68.4593612046098,9.99766376136516,7.5,87.074,743532.0,6.847535868245865
CHN,1990,1135185000.0,65.8569801882713,5.34515741412924,43.3,26.442,9388250.0,12.320868233774892
CHN,1995,1204855000.0,66.5129477763825,6.05307366965255,38.7,30.961,9388240.0,10.98829312285578
CHN,2000,1262645000.0,68.43842782702,7.01747574076251,30.0,35.877,9388220.0,9.752570632981422
CHN,2005,1303720000.0,71.815903350805,7.88962840533466,19.4,42.522,9388211.8,9.10257107955121
CHN,2010,1337705000.0,72.8644787380355,8.66147143784386,12.5,49.226,9388211.0,8.412482712772645
CIV,1990,12189778.0,49.7748297702727,2.44712834176013,100.6,39.345,318000.0,20.340097787626245
CIV,1995,14855565.0,50.8593463412313,2.48572849587776,98.4,41.21,318000.0,20.46053960662822
CIV,2000,17699004.0,51.5322980886382,2.42956891811539,91.4,43.155,318000.0,21.210469768691173
CIV,2005,20068458.0,51.3868741531331,2.28438832431441,80.2,45.234,318000.0,22.494806861944245
CIV,2010,22488065.0,53.6920440618622,2.30599881105819,68.8,47.33,318000.0,23.28363909139384
